asset_id,filename_or_version,creator_or_source,source_reference,asset_type,ownership_or_license,permitted_media,territory,duration,attribution,model_property_or_minor_release,ai_tool_model_and_date,prompt_or_reference_inputs,material_edits,synthetic_disclosure,restrictions,reviewer,approval_status,checksum,release_state
ast-cinematic-research-lab-v2,public/motion/kingxford-research-lab-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial scientific environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Credible scientific laboratory instruments, microscope, sample hardware, and a spectral beam passing through an architectural X; no people, unsafe procedure, fake UI, logos, or generated text",Generated master resized and cropped to 2560x1440 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary laboratory, experiment, dataset, affiliation, or measured result","Do not imply a real laboratory, sample, experiment, safety validation, scientific finding, affiliation, endorsement, or independent validation",kingXford & Co,active as disclosed conceptual editorial imagery,c6bc7f83404dbed6429a36a33dc3514316e485880d7d5ea783a78e1655dadc91,active
ast-cinematic-governance-gate-v2,public/motion/kingxford-governance-gate-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial governance environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Responsible-AI governance gate formed from transparent verification planes, physical audit blocks, model-card objects, red-team route markers, and a restrained X; no people, fake UI, logos, or generated text",Generated master resized and cropped to 2560x1440 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary assurance process, audit, control system, certification, or measured result","Do not imply completed assurance, certification, regulatory compliance, a real facility, operating control, endorsement, or independent validation",kingXford & Co,active as disclosed conceptual editorial imagery,1546f80570af500cb2cfb6f959053d83d157a61489c1abf6582669a92c4be031,active
ast-world-production-spine-v2,public/motion/kingxford-production-spine-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Vertical production spine combining cinematography camera, prototyping materials, electronics, physical models, and optical test plates as evidence objects; no people, fake UI, logos, or generated text",Generated master resized and cropped to 1600x2000 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary kingXford & Co studio, inventory, workflow, or project record","Do not imply a real facility, owned equipment, completed commission, operational capability, endorsement, or independent validation",kingXford & Co,active as disclosed conceptual editorial imagery,5aea532082733e18e4957c8cd578a6f8fefd33da96d0b414407843529bee4f98,active
ast-world-decision-theatre-v2,public/motion/kingxford-decision-theatre-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Professional decision theatre with evidence table, physical maps, decision tokens, and architectural X; no people, sofas, residential styling, military, surveillance, fake UI, logos, or generated text",Generated master resized and cropped to 1600x2000 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary kingXford & Co situation room, meeting, operation, or measured outcome","Do not imply a real facility, command authority, surveillance, military use, completed strategic process, endorsement, or independent validation",kingXford & Co,active as disclosed conceptual editorial imagery,ee7de0a8cfeea3b94ec39e666259d560062548f93039915907d489209efd9942,active
ast-world-instrument-corridor-v2,public/motion/kingxford-instrument-corridor-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial scientific environment,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Vertical instrument corridor with credible analytical laboratory hardware, microscopy, sample systems, and disciplined X geometry; no people, unsafe procedure, science-fiction, fake UI, logos, or generated text",Generated master resized and cropped to 1600x2000 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not a documentary kingXford & Co laboratory, experiment, affiliation, or measured outcome","Do not imply a real facility, experiment, safety validation, scientific finding, affiliation, endorsement, or independent validation",kingXford & Co,active as disclosed conceptual editorial imagery,6dcb079eaaaa7e8341fd13fece91a0e47571916ab71dc0c3493d48198ceaa80c,active
ast-media-ai-verification-chain-v2,public/media/ai-verification-chain-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial evidence still,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Physical verification chain connecting source material, model artifact, human-review gate, and decision evidence; no people, robot, brain metaphor, fake UI, logos, or generated text",Generated master resized and cropped to 2400x1600 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence of a real AI system, workflow, assurance result, or measured outcome","Do not imply system accuracy, safety, certification, completed assurance, real evidence, endorsement, or independent validation; infer no statistics from the image",kingXford & Co,active as disclosed conceptual editorial imagery,294c54e1d246c02dba816003dab736ce929731281fad8bf5fcf7bea97be4e8e8,active
ast-media-sustainable-abundance-capability-section-v2,public/media/sustainable-abundance-capability-section-v2.webp,kingXford & Co / OpenAI imagegen,creative/production-manifest.json,synthetic conceptual editorial systems still,Generated for kingXford & Co with OpenAI imagegen; provider terms apply; no source image or third-party interface used as generation input,kingXford & Co website and operational source repository,Global,Project life; re-review upon material context or policy change,kingXford & Co; synthetic conceptual editorial image,No people; no model release required; property and trademark rights not independently reviewed,OpenAI imagegen; 2026-07-31,"Credible capability section showing energy, water, food, mobility, research, and shared infrastructure as an interdependent physical system; no people, utopian fantasy, fake UI, logos, or generated text",Generated master resized and cropped to 2400x1600 WebP; no screenshot or text composited,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence of a real region, project, partnership, infrastructure system, or measured outcome","Do not infer statistics, feasibility, performance, causality, ownership, endorsement, partnership, or independent validation from the image",kingXford & Co,active as disclosed conceptual editorial imagery,05e747c565394c431b839f420df422d3967bba18060a69f6d50723106a9240b9,active
ast-veridanth-product-evidence-v3,public/work/veridanth-product-evidence-v3.webp,Veridanth public live interface / kingXford & Co mechanical composition,https://www.veridanth.com/; public interface captures recorded 2026-07-31,mechanical composite of authentic public product captures,"Authentic public interface captures used for portfolio identification; product, interface, and trademark rights remain with the relevant owner; no generated content",kingXford & Co website and operational source repository,Global,"Project life; re-review if interface ownership, source availability, or release status changes",Authentic Veridanth public-product capture,"No people; model release not applicable; interface, property, and trademark rights not independently reviewed",none,"Public Veridanth navigation, headline, and product-interface captures","Authentic capture crops scaled and arranged on a neutral field; thin borders, spacing, shadow, resize, and WebP encoding to 2400x1600; no generated pixels or invented interface content",Not synthetic; contains authentic captured interface pixels and neutral mechanical framing only,"Documents only the visible interface state at capture time; do not infer ownership, performance, endorsement, availability, user outcomes, or independent validation",kingXford & Co,active source recorded; legal and interface-rights review not performed,90189b32ccec55c513eb0e64c636df7fd1c2033515d0ff28c57a681f791e5e48,inactive_historical
ast-psyche-atlas-product-evidence-v3,public/work/psyche-atlas-product-evidence-v3.webp,Psyche Atlas public live interface / kingXford & Co mechanical composition,https://personality-tests-six.vercel.app/; public interface capture recorded 2026-07-31,mechanical crop and framing of an authentic public product capture,"Authentic public interface capture used for portfolio identification; product, interface, and trademark rights remain with the relevant owner; no generated content",kingXford & Co website and operational source repository,Global,"Project life; re-review if interface ownership, source availability, or release status changes",Authentic Psyche Atlas public-product capture,"No person retained in the final image; model release not applicable; interface, property, and trademark rights not independently reviewed",none,Public Psyche Atlas landing interface,"Authentic capture cropped, scaled, framed on a neutral field, resized, and WebP encoded to 2400x1600; no generated pixels or invented interface content",Not synthetic; contains authentic captured interface pixels and neutral mechanical framing only,"Self-reflection context only; do not imply clinical diagnosis, medical advice, measured assessment outcomes, endorsement, performance, availability, or independent validation",kingXford & Co,active source recorded; legal and interface-rights review not performed,e0d55f35400f767c5061e0ce055afbc806266ee4a5b12d826fd529f69021cdc9,inactive_historical
ast-grandmaster-product-evidence-v3,public/work/grandmaster-product-evidence-v3.webp,GrandMaster public live interface / kingXford & Co mechanical composition,https://boardgames-peach.vercel.app/; public interface capture recorded 2026-07-31,mechanical crop and framing of an authentic public product capture,"Authentic public interface capture used for portfolio identification; product, interface, and trademark rights remain with the relevant owner; no generated content",kingXford & Co website and operational source repository,Global,"Project life; re-review if interface ownership, source availability, or release status changes",Authentic GrandMaster public-product capture,"No people; model release not applicable; interface, property, game, and trademark rights not independently reviewed",none,Public GrandMaster strategy-learning interface,"Authentic capture cropped, scaled, framed on a neutral field, resized, and WebP encoded to 2400x1600; no generated pixels or invented interface content",Not synthetic; contains authentic captured interface pixels and neutral mechanical framing only,"Strategy-learning context only; do not imply wagering, gambling, measured learning outcomes, ownership of third-party game rights, endorsement, availability, or independent validation",kingXford & Co,active source recorded; legal and interface-rights review not performed,23eb88e736f8e71e06c3e33fe8fed393ba300061ba74fe40bad249c58f2df718,inactive_historical
ast-cinematic-lab-v2,public/motion/kingxford-reality-lab.webp,Nathan Rimoux / Unsplash,https://unsplash.com/photos/scientist-is-conducting-an-experiment-in-a-laboratory-MzIfSkcXj7Q,documentary laboratory photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co website and operational source repository,Global,Project life; re-review if license or source status changes,Nathan Rimoux / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Reference selected for an earlier Lab cinematic chapter,Cropped and converted to 2560x1440 WebP,Not synthetic,Contextual brand imagery only; do not imply the subject is a kingXford & Co employee or research participant,kingXford & Co,source restored; inactive historical asset; legal review not performed,a8c1f8b8500503c0400aeaefd1369d5644e0324ee47a92e40cc11bf4555ff48e,inactive_historical
ast-world-lab-v2,public/motion/kingxford-reality-lab-portrait.webp,Nathan Rimoux / Unsplash,https://unsplash.com/photos/scientist-is-conducting-an-experiment-in-a-laboratory-MzIfSkcXj7Q,documentary laboratory photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co website and operational source repository,Global,Project life; re-review if license or source status changes,Nathan Rimoux / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Source crop selected for the active Lab world card,Cropped and converted to 1600x2000 WebP,Not synthetic,"Contextual brand imagery only; do not imply the subject, laboratory, equipment, or activity belongs to kingXford & Co or documents a kingXford & Co experiment",kingXford & Co,active with recorded source; legal and release review not performed,578729b764fa27bb631f86d6d95e18764e545883568602e166a49c6cdbbe132c,inactive_historical
ast-lab-documentary-v3,public/motion/kingxford-lab-documentary.webp,Nathan Rimoux / Unsplash,https://unsplash.com/photos/scientist-is-conducting-an-experiment-in-a-laboratory-MzIfSkcXj7Q,documentary laboratory photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co website and operational source repository,Global,Project life; re-review if license or source status changes,Nathan Rimoux / Unsplash,Adult subject partially shown; model/property-release status not independently verified; no endorsement implied,none,Source crop selected for the active R&D cinematic chapter,"Mechanically cropped, resized, and WebP encoded to 2560x1440; no generated fill or semantic edit",Not synthetic,"Contextual brand imagery only; do not imply the subject, laboratory, equipment, sample, or activity belongs to kingXford & Co or proves an experiment or outcome",kingXford & Co,active with recorded source; legal and release review not performed,68a8511ec164432e2e979a543d3ec8f5eb95393420e7f057cfaaff25a08e0892,inactive_historical
ast-strategy-workshop-documentary-v3,public/motion/kingxford-strategy-workshop-documentary.webp,GN Group / Unsplash,https://unsplash.com/photos/man-working-on-architectural-model-at-desk-WUY0W2RSiBw,documentary design-workshop photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co website and operational source repository,Global,Project life; re-review if license or source status changes,GN Group / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Source crop selected for the active Living Room world card,"Mechanically cropped, resized, sharpened, and WebP encoded to 1600x2000; no generated fill or semantic edit",Not synthetic,"Contextual brand imagery only; do not imply the person, workshop, model, property, or activity belongs to kingXford & Co or documents a kingXford & Co engagement",kingXford & Co,active with recorded source; legal and release review not performed,07e34ad79421f54c4523d2e5927c18d17073f79ac9a99a132d2714ac3e892ba8,inactive_historical
ast-prototype-documentary-v3,public/motion/kingxford-prototype-documentary.webp,GN Group / Unsplash,https://unsplash.com/photos/man-working-on-architectural-model-at-desk-WUY0W2RSiBw,documentary design-process photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co website and operational source repository,Global,Project life; re-review if license or source status changes,GN Group / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Neutral derivative selected for the active Mission cinematic plate and reduced-motion static fallback,"Mechanically resized, sharpened, re-encoded, and stored under a neutral 2400x1600 WebP path; no generated fill or semantic edit",Not synthetic,"Contextual brand imagery only; do not imply the person, workshop, model, property, or activity belongs to kingXford & Co or documents a kingXford & Co engagement",kingXford & Co,active with recorded source; legal and release review not performed,11428687d2ce8fe82260430e4ad83ef99dd4301346c3e4f6b0675cf4d30ada39,active
ast-restrained-wordmark-icon-v3,src/app/icon.svg,Original vector geometry authored for kingXford & Co,src/components/KingxfordLogo.tsx,vector identity mark,Original repository implementation; copyright and trademark status not legally reviewed,kingXford & Co website and operational source repository,Global,Project life; re-review upon identity expansion,kingXford & Co,Not applicable,none,Restrained wordmark system and compact K monogram; updated 2026-08-01,Hand-authored SVG with a framed K and one restrained ultramarine terminal; the primary wordmark keeps the X on the same baseline and optical scale as surrounding letters,Not synthetic,"Do not claim trademark clearance, registration, exclusivity, or confusing-similarity review; do not convert the X into a dominant emblem",kingXford & Co,active original source recorded; legal and trademark review not performed,a9fe93c18c59e8470bb5caddf4640e61d5542f5f9d4b89dec57e6cbcc56da51c,active
ast-create-lumen-vale-documentary-v1,public/create/lumen-vale-documentary.webp,Nathan Rimoux / Unsplash,https://unsplash.com/photos/scientist-is-conducting-an-experiment-in-a-laboratory-MzIfSkcXj7Q,documentary laboratory photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co Create gallery and fictional Lumen Vale prototype,Global,Project life; re-review if license or source status changes,Nathan Rimoux / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Existing licensed laboratory photograph selected as contextual art direction,Mechanically stripped and re-encoded to 1600x2000 WebP; no generated fill or semantic edit,Not synthetic,"Context only; do not imply the subject, facility, equipment, sample, activity, experiment, or finding belongs to Lumen Vale or kingXford & Co",kingXford & Co,active with recorded source; legal and release review not performed,946bf3619483ab531a1d3a69ed03de1784440b1e174b02fb3c96a3abcb49cd27,active
ast-create-meridian-documentary-v1,public/create/meridian-decision-room.webp,Jonathan Borba / Unsplash,https://unsplash.com/photos/architectural-blueprints-and-a-laptop-on-a-marble-desk-rn00OVh0gEI,documentary design-process photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co Create gallery and fictional Meridian prototype,Global,Project life; re-review if license or source status changes,Jonathan Borba / Unsplash,Property-release status not independently verified; no endorsement implied,none,Existing licensed planning photograph selected as contextual institutional-decision imagery,Mechanically cropped resized stripped and re-encoded to 2400x1600 WebP; no generated fill or semantic edit,Not synthetic,"Context only; do not imply a real institution, transaction, portfolio, decision, client, advice, forecast, return, or outcome",kingXford & Co,active with recorded source; legal and release review not performed,b2d4349ac46ebf0d5a1bdcb98df63bb8b2ad3fe6096a0969cc4e58047767308a,active
ast-create-commonfield-documentary-v1,public/create/commonfield-workshop.webp,GN Group / Unsplash,https://unsplash.com/photos/man-working-on-architectural-model-at-desk-WUY0W2RSiBw,documentary design-workshop photograph,Free to use under the Unsplash License as stated on the source page,kingXford & Co Create gallery and fictional Commonfield prototype,Global,Project life; re-review if license or source status changes,GN Group / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Existing licensed workshop photograph selected as contextual project-learning imagery,Mechanically stripped and re-encoded to 2400x1600 WebP; no generated fill or semantic edit,Not synthetic,"Context only; do not imply the subject, studio, model, institution, course, accreditation, learner record, endorsement, or outcome belongs to Commonfield or kingXford & Co",kingXford & Co,active with recorded source; legal and release review not performed,11428687d2ce8fe82260430e4ad83ef99dd4301346c3e4f6b0675cf4d30ada39,active
